,texto,fechas,candidato,nombre_lugar
2326,próximo Domingo se elije Alternancia y Recambio IMM en ballotage Cosse y Es entre modelo confrontación y “plataforma política 2025” (Cosse) o gestionar (Raffo) un Montevideo inclusivo innovador integrado internacional.@lauraraffo ,20,Cosse,"Montevideo, Uruguay"
2588,"Actividad LIBRE #Vidasana #Espaciosseguros #ciclovias para todos en Punta del Este, Uruguay ",20,Cosse,"Maldonado, Uruguay"
2604,"Gracias Por tu nota de Hoy en REVISTA DOMINGO, Muchos aportes sobre Dame Christie De siempre, mi preferida Agatha ",20,Cosse,"Montevideo, Uruguay"
3054,"Cosse dejo a Antel hermosa, esa que los blancos querian vender para llevarse la cometa con la historia de que daba perdida ",20,Cosse,"Montevideo, Uruguay"
3306,"Y los 500.000 pobres que dejaron,la taza de desempleo que dejaron,las ollas populares no empezaron en marzo empesaron muchos años atrás,todo lo que robaron y fundieron.$1200 monte sirve!!lo ideal es que no les dieran nada.vasta de mantener vagos.los pasajes a cuba están baratos. ",20,Cosse,"Montevideo, Uruguay"
3401,"Hagamos experimentos con los políticos de acá de la campaña. Ahí te di laburo, Librum. Haceme un raffo-cosse para empezar. 😂🇺🇾 ",20,Cosse,"Maldonado, Uruguay"
3700,"Militantes y militantas. Hay tantas milis en Uruguay, coincido Cosse ",20,Cosse,"Montevideo, Uruguay"
4422,"Espero que queden por el camino, cómo quedaron en noviembre. Qué manera de mandarte la parte, solo salís a buscar el voto !!! ",20,Cosse,"Montevideo, Uruguay"
4532,"Martín me estas haciendo replantear mi voto, quiero votar a Martínez pero veo que molesta Cosse...capaz que la voto, eh? (Igual ya sabemos con mi voto o sin él quien va a ser intendenta...no?) 🔴🔵⚪ ",20,Cosse,"Montevideo, Uruguay"
5177,👏🏼👏🏼👏🏼 ,20,Cosse,"Montevideo, Uruguay"
5334,"""Si soy electa intendenta ¡por supuesto que voy a desplegar un plan de emergecia!"" Carolina Cosse ",20,Cosse,"Montevideo, Uruguay"
5561,"Lo que han mejorado, en tan poco tiempo, Villar y Cosse en la oratoria es impresionante ",20,Cosse,"Montevideo, Uruguay"
5598,"Nooooo no te queremos zurda de mierda! No todos los que vivimos en Montevideo (no La Montevideo, invento espantoso) te necesitan. 30 años que no hicieron un caraho y ahora dicen que van a hacer. Andaaaaaa tu si! a lavar los platos. Arriba !! 🙌 ",20,Cosse,"Lavalleja, Uruguay"
5892,"Como dijo un canto a la unidad. Y luego agrego ""el factor común de los frentamplistas es el ideario artiguista, el que repartió tierras y luego de su derrota en 1921 las devolvieron"" O sea la ARU ya existía. ",20,Cosse,"Montevideo, Uruguay"
5984,"Bueno , vas progresando mi reina, aquí no se ve tanta basura , y el contenedor no está desbordado... ",20,Cosse,"Artigas, Uruguay"
6020,Ambas ,20,Cosse,"Maldonado, Uruguay"
6072,"Si, exacto, es un insulto, se refirió a una mujer que hace política como prostituta manejada con un hombre. Hablame de feminismos..... (4/4) ",20,Cosse,"Montevideo, Uruguay"
6121,próximo Domingo se elige Alternancia y Recambio IMM en ballotage Cosse y Es entre modelo confrontación y “plataforma política 2025” (Cosse) o gestionar (Raffo) un Montevideo inclusivo innovador integrado internacional.@lauraraffo ,20,Cosse,"Montevideo, Uruguay"
6213,"No puedo destacar nada de tu partido,solo corrupción y más miras las noticias!! ",20,Cosse,"Montevideo, Uruguay"
6267,Porque es cosse por eso ,20,Cosse,"Montevideo, Uruguay"
6424,Gracias y grande Carolina 👏🏼👏🏼♥️ ,20,Cosse,"Montevideo, Uruguay"
6479,Con la 90 y la fuerza de los barrios. #CarolinaIntendenta ,20,Cosse,"Montevideo, Uruguay"
6672,"Que nerviosos los pone Mujica. Les mete el dedo, todos le dan palo a él mientras Cosse, Martinez y Villar siguen aumentando en votos. ",20,Cosse,"Montevideo, Uruguay"
6826,HOY LO QUE FUE EL ACTO FINAL DEL FRENTE AMPLIO PREVIO A LAS ELECCIONES DEL PROXIMO DOMINGO en Estadio Centenario ,20,Cosse,"Montevideo, Uruguay"
6833,Arriba Gonzalo. Desde el consideramos que no nos equivocamos tampoco. Vamos a tener una Intendenta con la gente. Abrazo grande. ,20,Cosse,"Montevideo, Uruguay"
7066,"Xq la Cosse usa tacos, no le iba a servir! ",20,Cosse,"Canelones, Uruguay"
7196,Los comandos de campaña de las candidatas y candidatos a la #intendencia nos pidieron jingles de campaña pero por alguna razón no caminaron. Acá los que hicimos para #CarolinaCosse y #LauraRaffo - Primera Parte del #Clipdelasemana ,20,Cosse,"Canelones, Uruguay"
7210,¡Es hoy! #LegitimaDefensa junto a ✌🏻 ,20,Cosse,"Montevideo, Uruguay"
7280,HOY!! #LegitimaDefensa con IMPERDIBLE #CarolinaIntendenta #LaMontevideoQueQuiero ,20,Cosse,"Montevideo, Uruguay"
7323,,20,Cosse,"Maldonado, Uruguay"
7519,"No lo sé aún. Martinez, Villar y Cosse en orden ",20,Cosse,"Montevideo, Uruguay"
7711,"Si el tuyo nos dejó sin alas u,sin pluma,sin Ancap,regasificadora,déficit fisacla,el desempleo más grande de la historia,500.000 pobres,nos dejó sin las actas de los deseparecidos,las debe de tener en la casa exelentes conquistas.pasajes a cuba y Venezuela baratos. ",20,Cosse,"Montevideo, Uruguay"
7731,Si no te gusta que se terminará el recreo de mantener vagos valla nomás a su paraíso comunista de cuba y venezuela.las urnas hablaron así que aguantarse. ,20,Cosse,"Montevideo, Uruguay"
7755,"La intendencia es un comité de base para ustedes,pero porsupuesto nos vemos el domingo,seguro con alguna linda sorpresa. ",20,Cosse,"Montevideo, Uruguay"
8030,"Mira que las ollas populares no se inventaron a partir de abril.ciega.vos decís manini y moreira.y yo te digo sendic,calloia,Bengoa,toma, cendoya,el impresentable de bonomi y podría seguir. ",20,Cosse,"Montevideo, Uruguay"
8078,Cobraba .de lo contrario no alcanzaba ni para yerba. ,20,Cosse,"Montevideo, Uruguay"
8079,Contamos contigo y cuenta con nosotros. #VamosPorMás ,20,Cosse,"Montevideo, Uruguay"
8125,tendrá sororidad con Laura o lo del feminismo le es ajeno? Bueno y que piensa de agredir a sus oponentes? esta es la campaña que les hizo perder el gobierno...están dispuestos a perder Montevideo? ,20,Cosse,"Montevideo, Uruguay"
8128,hoy me sacaste una foto antes de comenzar la Caravana en el Cerro (Chile y Ramírez) con la bandera y tapabocas de ¿Si la llegas a tener a mano me la pasarías? 🛫 tu laburo. Abrazo grande. ,20,Cosse,"Montevideo, Uruguay"
8196,Tenes razón pero estamos llenos de necios y de memoria fragil ,20,Cosse,"Montevideo, Uruguay"
8225,😂😂😂😂 Y EL FA A SEGUIR ROBANDO ,20,Cosse,"Montevideo, Uruguay"
8229,Entonces peor hablo de porque no creo que ni Villar ni Martinez usan tacos.... A veces defender lo indefendible es hacer el ridículo ,20,Cosse,"Montevideo, Uruguay"
8234,😉 ,20,Cosse,"Montevideo, Uruguay"
8603,"Los espacios que disfrutamos no se mantienen solos. Es trajo duro de un proyecto que siempre ha puesto a la gente en el centro. Para seguir defendiendo tu municipio, este 27 votamos #CabreraEnElC junto a tu lista de o #DefendeTuMunicipio ",20,Cosse,"Montevideo, Uruguay"
8669,La buscamos claro! ,20,Cosse,"Montevideo, Uruguay"
8708,#noselopermitomujica ,20,Cosse,"Montevideo, Uruguay"
8754,"¿Entienden por qué ni se atrevieron a debatir con O como ella acaba de exigir a Mujica: que les de permiso a los tres para que lo hagan. Quedaron como lo que son, marionetas del MLN. ",20,Cosse,"San José, Uruguay"
8974,Vas a defender a las mujeres? Digo capaz me parece ,20,Cosse,"Montevideo, Uruguay"
8985,Señora la amo ,20,Cosse,"Montevideo, Uruguay"
9185,#LegitimaDefensa Se viene ,20,Cosse,"Montevideo, Uruguay"
9422,Cosse intendenta !!!? ,20,Cosse,"Montevideo, Uruguay"
9443,,20,Cosse,"Montevideo, Uruguay"
9488,"Viendo #LegitimaDefensa quiero que sea 27 ya. Re manija. 📍 en Paysandú 📍 Terzaghi en Río Negro 📍 en Montevideo Encima en las tandas, hasta me convenció. ¡Dame la urna! Anhelo un 27 lleno de victorias Frenteamplistas en todo el país. ",20,Cosse,"Montevideo, Uruguay"
9633,"Xq va tercero, si nó nunca lo haría, .. como la Cosse! ",20,Cosse,"Canelones, Uruguay"
9654,Se viene en #LegitimaDefensa. Quiero domingos así siempre 💕 ,20,Cosse,"Montevideo, Uruguay"
9722,,20,Cosse,"Montevideo, Uruguay"
9789,Mirando a Carolina Cosse en #LegitimaDefensa ,20,Cosse,"Montevideo, Uruguay"
9826,cuando pienso en las elecciones del domingo me parece un re viaje pq debemos ser el único país del mundo que te clava elecciones departamentales en plena pandemia y me parece perfecto sólo si votan a carito cosse ,20,Cosse,"Montevideo, Uruguay"
9901,anda viendo a martinez le parecio bien el despilfarro de guita de cosse en antel.. CLARAMENTE LA MISMA MIERDA!!!! ,20,Cosse,"Montevideo, Uruguay"
9986,Carolina! ,20,Cosse,"Montevideo, Uruguay"
9990,Villar ,20,Cosse,"Montevideo, Uruguay"
9997,Villar ,20,Cosse,"Montevideo, Uruguay"
10052,Bien informada estoy ! Cosse intendenta ,20,Cosse,"Montevideo, Uruguay"
10074,Ella estudio en la Udelar y trabaja de lo que estudio. No veo ningun merito especial en haber sido pobre. Y te cuento que ni villar ni martinez ni cosse fueron pobres. ,20,Cosse,"Montevideo, Uruguay"
10082,"Con gusto, para mejorar ! Y sino anda a vivir al exterior y verás los impuestos que hay. Mucho más debemos pagar para llegar a esos niveles. Cosse Cosse ",20,Cosse,"Montevideo, Uruguay"
10121,Una dupla poderosa! 👍 ,20,Cosse,"Montevideo, Uruguay"
10359,Es una estadista. ,20,Cosse,"Montevideo, Uruguay"
10373,Próxima intendenta la Sra Carolina Cosse. Mis respetos tambien . No sé ofenda ni piense que atacó cuando festeje fuerte el próximo domingo. Bye ,20,Cosse,"Montevideo, Uruguay"
10466,Voy a esperar sentada la respuesta de Cosse a Mujica por los agravios hechos a Laura por ser mujer. ,20,Cosse,"Montevideo, Uruguay"
10474,"enserio hablaste de estancias y fomentar el turismo con ellas???? Estancias en ""la"" Montevideo? Asesorate mi reina!!!!!! 😣No entiendo como podes estar arriba en las encuestas te juro. ",20,Cosse,"Canelones, Uruguay"
10548,🙌🏻 ,20,Cosse,"Montevideo, Uruguay"
10591,Secreto ,20,Cosse,"Montevideo, Uruguay"
10632,A Carolina ,20,Cosse,"Montevideo, Uruguay"
11252,La foto de la foto. Despegadas 🚀🚀🚀 #CarolinaIntendenta ,20,Cosse,"Montevideo, Uruguay"
11856,,20,Cosse,"Maldonado, Uruguay"
11883,,20,Cosse,"Maldonado, Uruguay"
404,Orsi ,21,Cosse,"Canelones, Uruguay"
520,"Si la delincuente común de cosse gana la intendencia, todos los ciudadanos decentes vamos a ser boleta ",21,Cosse,"Montevideo, Uruguay"
608,Pobre fracasado ,21,Cosse,"Montevideo, Uruguay"
615,"Me imagino que no es, pero razonan igual. ",21,Cosse,"Montevideo, Uruguay"
620,Todo! 😉 ,21,Cosse,"Montevideo, Uruguay"
712,🤫🤫 ,21,Cosse,"Montevideo, Uruguay"
738,Que respuesta inteligente 🤔😂 ,21,Cosse,"Montevideo, Uruguay"
1013,#LaMontevideoQueQuiero 🔴🔵⚪💪 ,21,Cosse,"Montevideo, Uruguay"
1608,"Que lastima que el FA haya silenciado a sus 3 candidatos, que lindo estaría un intercambio de propuestas entre todos. ",21,Cosse,"Montevideo, Uruguay"
1622,"Hoy se escucha,mañana y pasado no 👎🏼 ",21,Cosse,"Montevideo, Uruguay"
1662,Ahí tenés una tortilla ,21,Cosse,"Montevideo, Uruguay"
1784,"Dale Martín, nadie en su sano juicio va a pretender convencerte a ti, no te des x aludido. Pero te pido algo, imaginate a Larrañaga, diciendo el mismo discurso del Pepe, pero refiriéndose a Cosse, ayer hubiese existido la marcha más inmensa en Uru de todos colectivos. Tú lo sabes ",21,Cosse,"Canelones, Uruguay"
